# URL, Current HTTP, Current Canonical, Google Issue, Equivalent Page, Search Intent, Recommended Action
/gratis-angebot/, 404, None, 404, /angebot/, Request quote, 301 to /angebot/
/leistungen/hausumzug/, 404, None, 404, None, Hausumzug, CREATE /leistungen/hausumzug/
/leistungen/wohnungsraeumung/, 404, None, 404, /leistungen/wohnungsaufloesung/, Wohnungsräumung, 301 to /leistungen/wohnungsaufloesung/
/dienstleistungen/wohnungsaufloesung/, 404, None, 404, /leistungen/wohnungsaufloesung/, Wohnungsauflösung, 301 to /leistungen/wohnungsaufloesung/
/leistungen/umzug-ueberblick/, 404, None, 404, /umzugsservice/, Umzug Überblick, 301 to /umzugsservice/
/leistungen/spezialtransporte/, 404, None, 404, None, Spezialtransporte, CREATE /leistungen/spezialtransporte/
/ratgeber/auslandsumzug-planen-tipps/, 404, None, 404, /ratgeber/internationaler-umzug-oesterreich-profi/, Auslandsumzug planen, 301 to /ratgeber/internationaler-umzug-oesterreich-profi/
/uber-uns/, 404, None, 404, /ueber-uns/, Über uns, 301 to /ueber-uns/
/datenschutz/, 404, None, 404, None, Datenschutz, CREATE /datenschutz/
/ratgeber/moebelpacker-vs-diy-umzug/, 200, Self, 404, None, DIY vs Profi, KEEP + SELF CANONICAL
/service-category/business/, 404, None, 404, /leistungen/firmenumzug-wien/, Business service category, 301 to /leistungen/firmenumzug-wien/
/leistungen/haushaltsaufloesung-1220-wien/, 404, None, 404, /leistungen/haushaltsaufloesung/, Haushaltsauflösung 1220 Wien, 301 to /leistungen/haushaltsaufloesung/
/gallery-addon/, 404, None, 404, None, Legacy plugin URL, KEEP 410 (Add to _redirects as 410)
/dienstleistungen/raeumung/, 404, None, 404, /leistungen/raeumung/, Räumung, 301 to /leistungen/raeumung/
/service/kuechenmontage/, 404, None, 404, /leistungen/moebelmontage/, Küchenmontage, 301 to /leistungen/moebelmontage/
/dienstleistungen/umzug-wien/, 404, None, 404, /leistungen/umzug-wien/, Umzug Wien, 301 to /leistungen/umzug-wien/
/service/verpackungsmaterial/, 404, None, 404, /leistungen/verpackungsservice/, Verpackungsmaterial, 301 to /leistungen/verpackungsservice/
/umzugsservice/, 200, Self, 404, None, Umzugsservice, KEEP + SELF CANONICAL
/leistungen/klaviertransport/, 200, Self, Canonical Conflict, None, Klaviertransport, KEEP + SELF CANONICAL
/leistungen/verpackungsservice/, 200, Self, Canonical Conflict, None, Verpackungsservice, KEEP + SELF CANONICAL
/ratgeber/2026-08-23-moebelmontage-abbau-tipps/, 200, Self, Canonical Conflict, None, Möbelmontage Tipps, FIX URL TO PAST DATE & REDIRECT
/ratgeber/burgenland-nord-standorte/, 200, Self, Canonical Conflict, None, Burgenland Nord Standorte, KEEP + SELF CANONICAL
/leistungen/haushaltsaufloesung/, 200, Self, Canonical Conflict, None, Haushaltsauflösung, KEEP + SELF CANONICAL
/leistungen/umzug-1070-wien/, 200, Self, Not Indexed, None, Umzug 1070 Wien, IMPROVE CONTENT
/leistungen/umzug-1130-wien/, 200, Self, Not Indexed, None, Umzug 1130 Wien, IMPROVE CONTENT
/ratgeber/entruempelung-oesterreich-standorte/, 200, Self, Not Indexed, None, Entrümpelung Standorte, IMPROVE CONTENT
/leistungen/umzug-1080-wien/, 200, Self, Not Indexed, None, Umzug 1080 Wien, IMPROVE CONTENT
/leistungen/umzug-oesterreich/, 200, Self, Not Indexed, None, Umzug Österreich, IMPROVE CONTENT
/ratgeber/delogierung-zwangsraeumung-wien-vermieter/, 200, Self, Not Indexed, None, Delogierung Vermieter, IMPROVE CONTENT
/, 200, Self, Not Indexed, None, Homepage, IMPROVE CONTENT
/ratgeber/praxisaufloesung-checkliste/, 200, Self, Not Indexed, None, Praxisauflösung, IMPROVE CONTENT
/leistungen/entruempelungsdienst/, 200, Self, Not Indexed, /leistungen/entruempelung/, Entrümpelungsdienst, 301 to /leistungen/entruempelung/ (thin duplicate)
/ratgeber/gratis-entruempelung-wien/, 200, Self, Not Indexed, None, Gratis Entrümpelung Wien, IMPROVE CONTENT
